#twotheta, yobs, ycal, bkg, diff
2.200000e+001,2.762062e+004,2.758762e+004,2.753864e+004,3.299078e+001
2.201000e+001,2.759496e+004,2.757382e+004,2.752408e+004,2.113480e+001
2.202000e+001,2.730443e+004,2.756004e+004,2.750952e+004,-2.556052e+002
2.203000e+001,2.741656e+004,2.754627e+004,2.749495e+004,-1.297142e+002
2.204000e+001,2.739141e+004,2.753253e+004,2.748039e+004,-1.411187e+002
2.205000e+001,2.740956e+004,2.751881e+004,2.746583e+004,-1.092431e+002
2.206000e+001,2.736714e+004,2.750511e+004,2.745127e+004,-1.379673e+002
2.207000e+001,2.709524e+004,2.749143e+004,2.743671e+004,-3.961826e+002
2.208000e+001,2.722969e+004,2.747777e+004,2.742214e+004,-2.480810e+002
2.209000e+001,2.741652e+004,2.746414e+004,2.740758e+004,-4.762060e+001
2.210000e+001,2.726122e+004,2.745053e+004,2.739302e+004,-1.893119e+002
2.211000e+001,2.728524e+004,2.743695e+004,2.737846e+004,-1.517127e+002
2.212000e+001,2.736289e+004,2.742339e+004,2.736390e+004,-6.049953e+001
2.213000e+001,2.751477e+004,2.740987e+004,2.734933e+004,1.048989e+002
2.214000e+001,2.750915e+004,2.739637e+004,2.733477e+004,1.127802e+002
2.215000e+001,2.722149e+004,2.738290e+004,2.732021e+004,-1.614056e+002
2.216000e+001,2.727430e+004,2.736946e+004,2.730565e+004,-9.515943e+001
2.217000e+001,2.747166e+004,2.735606e+004,2.729109e+004,1.156033e+002
2.218000e+001,2.715291e+004,2.734269e+004,2.727652e+004,-1.897732e+002
2.219000e+001,2.687981e+004,2.732935e+004,2.726196e+004,-4.495400e+002
2.220000e+001,2.701713e+004,2.731605e+004,2.724740e+004,-2.989194e+002
2.221000e+001,2.710435e+004,2.730279e+004,2.723284e+004,-1.984382e+002
2.222000e+001,2.718007e+004,2.728956e+004,2.721828e+004,-1.094945e+002
2.223000e+001,2.706786e+004,2.727638e+004,2.720371e+004,-2.085237e+002
2.224000e+001,2.717662e+004,2.726324e+004,2.718915e+004,-8.662314e+001
2.225000e+001,2.714932e+004,2.725015e+004,2.717459e+004,-1.008239e+002
2.226000e+001,2.730265e+004,2.723710e+004,2.716003e+004,6.554772e+001
