#twotheta, yobs, ycal, bkg, diff
2.200000e+001,8.278596e+003,8.384158e+003,8.362242e+003,-1.055620e+002
2.201000e+001,8.400744e+003,8.378848e+003,8.356622e+003,2.189615e+001
2.202000e+001,8.278155e+003,8.373549e+003,8.351005e+003,-9.539350e+001
2.203000e+001,8.264376e+003,8.368261e+003,8.345391e+003,-1.038845e+002
2.204000e+001,8.292971e+003,8.362983e+003,8.339781e+003,-7.001266e+001
2.205000e+001,8.304528e+003,8.357718e+003,8.334175e+003,-5.318929e+001
2.206000e+001,8.102976e+003,8.352463e+003,8.328571e+003,-2.494874e+002
2.207000e+001,8.226020e+003,8.347221e+003,8.322971e+003,-1.212018e+002
2.208000e+001,8.230146e+003,8.341991e+003,8.317375e+003,-1.118459e+002
2.209000e+001,8.091558e+003,8.336774e+003,8.311782e+003,-2.452159e+002
2.210000e+001,8.357173e+003,8.331569e+003,8.306192e+003,2.560343e+001
2.211000e+001,8.242541e+003,8.326378e+003,8.300606e+003,-8.383717e+001
2.212000e+001,8.391230e+003,8.321200e+003,8.295023e+003,7.003005e+001
2.213000e+001,8.245171e+003,8.316037e+003,8.289444e+003,-7.086578e+001
2.214000e+001,8.239632e+003,8.310887e+003,8.283868e+003,-7.125544e+001
2.215000e+001,8.191255e+003,8.305753e+003,8.278295e+003,-1.144972e+002
2.216000e+001,8.132315e+003,8.300633e+003,8.272726e+003,-1.683176e+002
2.217000e+001,8.203491e+003,8.295529e+003,8.267160e+003,-9.203797e+001
2.218000e+001,8.166198e+003,8.290441e+003,8.261597e+003,-1.242436e+002
2.219000e+001,8.178044e+003,8.285370e+003,8.256038e+003,-1.073258e+002
2.220000e+001,8.122348e+003,8.280316e+003,8.250482e+003,-1.579681e+002
2.221000e+001,8.255648e+003,8.275280e+003,8.244930e+003,-1.963142e+001
2.222000e+001,8.287228e+003,8.270262e+003,8.239381e+003,1.696678e+001
2.223000e+001,8.240898e+003,8.265262e+003,8.233836e+003,-2.436409e+001
2.224000e+001,8.060845e+003,8.260283e+003,8.228294e+003,-1.994381e+002
2.225000e+001,8.092248e+003,8.255323e+003,8.222755e+003,-1.630756e+002
2.226000e+001,8.218438e+003,8.250385e+003,8.217219e+003,-3.194714e+001
2.227000e+001,8.132327e+003,8.245468e+003,8.211688e+003,-1.131410e+002
2.228000e+001,8.201714e+003,8.240573e+003,8.206159e+003,-3.885933e+001
2.229000e+001,8.148374e+003,8.235702e+003,8.200634e+003,-8.732807e+001
2.230000e+001,8.182425e+003,8.230855e+003,8.195112e+003,-4.842982e+001
2.231000e+001,8.024431e+003,8.226033e+003,8.189594e+003,-2.016021e+002
2.232000e+001,8.108292e+003,8.221238e+003,8.184079e+003,-1.129462e+002
2.233000e+001,8.098948e+003,8.216469e+003,8.178567e+003,-1.175215e+002
2.234000e+001,8.071787e+003,8.211729e+003,8.173059e+003,-1.399421e+002
2.235000e+001,8.250996e+003,8.207019e+003,8.167554e+003,4.397742e+001
2.236000e+001,8.154178e+003,8.202339e+003,8.162053e+003,-4.816129e+001
2.237000e+001,8.076604e+003,8.197691e+003,8.156555e+003,-1.210875e+002
2.238000e+001,8.128952e+003,8.193078e+003,8.151060e+003,-6.412549e+001
2.239000e+001,8.054681e+003,8.188499e+003,8.145569e+003,-1.338177e+002
2.240000e+001,8.125666e+003,8.183957e+003,8.140081e+003,-5.829144e+001
2.241000e+001,8.137701e+003,8.179454e+003,8.134597e+003,-4.175287e+001
2.242000e+001,8.093015e+003,8.174991e+003,8.129116e+003,-8.197602e+001
2.243000e+001,8.097600e+003,8.170570e+003,8.123638e+003,-7.297049e+001
2.244000e+001,8.269514e+003,8.166194e+003,8.118164e+003,1.033196e+002
2.245000e+001,8.282873e+003,8.161865e+003,8.112693e+003,1.210080e+002
2.246000e+001,7.989437e+003,8.157585e+003,8.107226e+003,-1.681483e+002
2.247000e+001,8.125577e+003,8.153357e+003,8.101762e+003,-2.778078e+001
2.248000e+001,8.212327e+003,8.149185e+003,8.096301e+003,6.314259e+001
2.249000e+001,8.063800e+003,8.145069e+003,8.090844e+003,-8.126913e+001
2.250000e+001,8.061785e+003,8.141016e+003,8.085390e+003,-7.923083e+001
2.251000e+001,8.101959e+003,8.137026e+003,8.079940e+003,-3.506688e+001
2.252000e+001,8.118015e+003,8.133106e+003,8.074493e+003,-1.509073e+001
2.253000e+001,8.119192e+003,8.129258e+003,8.069049e+003,-1.006565e+001
2.254000e+001,8.139555e+003,8.125488e+003,8.063609e+003,1.406714e+001
2.255000e+001,7.940773e+003,8.121799e+003,8.058172e+003,-1.810258e+002
2.256000e+001,7.882029e+003,8.118198e+003,8.052739e+003,-2.361696e+002
2.257000e+001,8.181731e+003,8.114691e+003,8.047309e+003,6.704010e+001
2.258000e+001,7.981347e+003,8.111283e+003,8.041882e+003,-1.299358e+002
2.259000e+001,8.087310e+003,8.107982e+003,8.036459e+003,-2.067194e+001
2.260000e+001,8.033279e+003,8.104794e+003,8.031039e+003,-7.151533e+001
2.261000e+001,8.054169e+003,8.101729e+003,8.025622e+003,-4.755958e+001
2.262000e+001,8.112122e+003,8.098795e+003,8.020209e+003,1.332696e+001
2.263000e+001,8.077738e+003,8.096003e+003,8.014800e+003,-1.826427e+001
2.264000e+001,7.981691e+003,8.093362e+003,8.009393e+003,-1.116713e+002
2.265000e+001,8.060299e+003,8.090886e+003,8.003991e+003,-3.058684e+001
2.266000e+001,8.081135e+003,8.088588e+003,7.998591e+003,-7.452930e+000
2.267000e+001,7.920510e+003,8.086482e+003,7.993195e+003,-1.659715e+002
2.268000e+001,7.898341e+003,8.084585e+003,7.987802e+003,-1.862434e+002
2.269000e+001,7.945029e+003,8.082915e+003,7.982413e+003,-1.378856e+002
2.270000e+001,7.995293e+003,8.081493e+003,7.977027e+003,-8.619962e+001
2.271000e+001,8.070120e+003,8.080341e+003,7.971645e+003,-1.022120e+001
2.272000e+001,7.915082e+003,8.079485e+003,7.966265e+003,-1.644035e+002
2.273000e+001,8.021225e+003,8.078954e+003,7.960890e+003,-5.772890e+001
2.274000e+001,8.080756e+003,8.078780e+003,7.955517e+003,1.976068e+000
2.275000e+001,7.879510e+003,8.079000e+003,7.950148e+003,-1.994901e+002
2.276000e+001,7.901401e+003,8.079656e+003,7.944783e+003,-1.782551e+002
